feature,mean_abs_saliency,std_abs_saliency
temperature_missing_pct,7.6127844e-06,2.2095915e-05
spo2_roll4h_min,7.481631e-06,2.2783117e-05
temperature_roll1h_max,7.464251e-06,2.458489e-05
temperature_roll1h_mean,7.4330874e-06,2.3608014e-05
GCS - Eye Opening,7.1627574e-06,2.7077009e-05
level_of_consciousness_missing_pct,7.0472934e-06,1.599487e-05
spo2_time_since_last_obs,7.0151095e-06,1.7872268e-05
spo2_roll4h_std,6.960918e-06,2.2338607e-05
temperature_roll1h_min,6.763695e-06,2.0552217e-05
temperature_roll1h_std,6.7343967e-06,3.0973864e-05
spo2_roll24h_min,6.7105393e-06,1.7336319e-05
spo2_roll4h_mean,6.703271e-06,2.0028703e-05
respiratory_rate,6.6832167e-06,1.9052983e-05
heart_rate_min,6.629454e-06,2.0064854e-05
temperature_roll24h_mean,6.496404e-06,1.6653623e-05
spo2_median,6.4932055e-06,1.983149e-05
respiratory_rate_roll4h_max,6.485272e-06,1.8179982e-05
respiratory_rate_missing,6.4490882e-06,2.732622e-05
level_of_consciousness_mean,6.404107e-06,1.5503658e-05
gcs_total,6.3523767e-06,2.176025e-05
respiratory_rate_roll1h_mean,6.04215e-06,1.60475e-05
systolic_bp_mean,5.9862873e-06,1.604591e-05
temperature_roll4h_max,5.896002e-06,1.7634675e-05
temperature_roll24h_max,5.811698e-06,1.6171078e-05
systolic_bp_max,5.7890616e-06,1.9521387e-05
respiratory_rate_roll1h_max,5.7557545e-06,1.8988952e-05
spo2_roll1h_mean,5.739758e-06,1.6536407e-05
respiratory_rate_roll24h_max,5.499543e-06,1.6849388e-05
temperature_mean,5.243697e-06,1.2707973e-05
temperature_roll4h_min,5.1609973e-06,1.5682672e-05
temperature_median,5.0738654e-06,1.2706105e-05
level_of_consciousness_min,4.8074e-06,2.1022643e-05
systolic_bp_roll1h_std,4.5925794e-06,1.3987121e-05
temperature_roll24h_min,4.2086845e-06,1.2117787e-05
spo2_roll4h_slope,4.0573764e-06,5.5952216e-05
heart_rate_carried,4.0121563e-06,1.9436908e-05
respiratory_rate_carried,3.5454025e-06,1.5446998e-05
heart_rate_roll4h_slope,3.2543564e-06,1.0543771e-05
spo2_mean,3.1984903e-06,1.0063373e-05
spo2_carried,3.0904775e-06,1.3863938e-05
heart_rate_missing,3.081341e-06,1.5323041e-05
spo2_missing,3.0777042e-06,1.4309454e-05
systolic_bp_roll24h_slope,2.975938e-06,3.6328358e-05
systolic_bp_roll4h_slope,2.6053212e-06,3.0760657e-05
heart_rate_roll24h_slope,2.460873e-06,1.5227646e-05
ART BP Systolic,2.329942e-06,6.8201857e-06
spo2_max,2.157625e-06,4.8502143e-06
respiratory_rate_roll4h_slope,2.1506548e-06,7.5355883e-06
systolic_bp_carried,2.0745042e-06,1.2194237e-05
heart_rate_roll1h_slope,2.067161e-06,3.0105917e-05
spo2_roll24h_slope,1.4753903e-06,1.4712574e-05
systolic_bp_roll1h_slope,1.2972404e-06,1.3454389e-05
spo2_roll1h_slope,1.2597602e-06,9.00077e-06
respiratory_rate_roll24h_slope,1.0744683e-06,5.5641844e-06
respiratory_rate_roll1h_slope,9.274788e-07,1.4058056e-05
temperature_roll1h_slope,7.129958e-07,5.730408e-06
supplemental_o2_min,0.0,0.0
co2_retainer,0.0,0.0
supplemental_o2_missing,0.0,0.0
co2_retainer_missing,0.0,0.0
supplemental_o2_carried,0.0,0.0
supplemental_o2_missing_pct,0.0,0.0
co2_retainer_median,0.0,0.0
co2_retainer_carried,0.0,0.0
co2_retainer_max,0.0,0.0
co2_retainer_min,0.0,0.0
co2_retainer_mean,0.0,0.0
supplemental_o2_median,0.0,0.0
co2_retainer_missing_pct,0.0,0.0
